,coef__df_no_covid_2019,coef__df_pre_covid,coef__df_during_covid,coef__df_post_covid
Intercept,0.046894344,-1.155343727,-1.040902413,-1.698951321
C(user_id)[T.83847798],-0.884928593,-0.484291467,-0.258497454,0.011247606
C(user_id)[T.96777538],1.41464116,2.902312543,2.270211927,2.548785355
C(user_id)[T.117516591],1.774221066,3.159443838,2.789350768,3.513459715
C(user_id)[T.151107478],-0.399845311,1.578761752,0.996958633,1.267004047
C(user_id)[T.161737679],2.20413806,3.914076841,2.562125546,3.066662983
C(user_id)[T.165799592],1.612623016,3.542543125,3.163754762,3.50672528
C(user_id)[T.165947589],0.940353995,2.307882018,2.3136801,2.27721274
C(user_id)[T.169103176],0.113153202,0.739543879,0.975626634,2.385825392
C(user_id)[T.177445817],-1.0860095,0.975203251,0.994146894,1.549400265
C(user_id)[T.180946960],0.982668528,1.827595494,1.319699988,1.134738376
C(user_id)[T.186869602],1.447632813,2.771447911,2.342793543,3.340951366
C(user_id)[T.259286491],0.731879556,1.631829078,1.80190537,2.285922246
C(user_id)[T.277027525],1.33208344,2.610241305,2.220701721,3.037759668
C(user_id)[T.288736738],0.947875824,2.974431526,2.168084665,1.954142654
C(user_id)[T.306211089],-1.9671465,-0.452548212,0.694534447,0.6083347
C(user_id)[T.307999656],2.122471307,3.720949111,2.438078578,2.956659787
C(user_id)[T.329081947],-0.672563696,0.217468288,0.386327601,0.673388037
C(user_id)[T.329228410],1.237421555,2.693524695,1.175630875,2.215482869
C(user_id)[T.392931443],1.53054818,2.716650382,2.758091585,3.040674895
C(user_id)[T.405162472],1.256719017,2.784118218,1.817371193,1.670244638
C(user_id)[T.432388920],1.456346812,2.82477192,2.771232074,2.5678915
C(user_id)[T.446714594],0.884457576,1.575222817,1.892310648,2.309371855
C(user_id)[T.447920327],-1.629137396,-0.548486313,0.594743192,1.111132448
C(user_id)[T.452240595],-0.381531592,0.9219759,1.469566165,1.348344042
C(user_id)[T.462104555],1.234042616,2.465065393,1.393415788,1.619566783
C(user_id)[T.490585631],1.563957946,4.146031179,2.962307397,3.531922149
C(user_id)[T.514861747],-1.716781216,-1.463756279,1.030453746,1.310164547
C(user_id)[T.526536707],1.192455143,2.857382237,2.574421436,2.439689899
C(user_id)[T.569248206],-0.909633196,0.568304339,0.600591835,0.725547674
C(user_id)[T.595570681],1.076696294,1.816385193,1.846236055,1.847767008
C(user_id)[T.606754384],-0.825756132,0.755239632,0.741108015,0.073884996
C(user_id)[T.703918760],0.830863546,1.694607819,2.068366818,2.009281767
C(user_id)[T.749393952],0.251774405,1.368941693,1.22611808,2.028067636
C(user_id)[T.805853732],1.824632393,3.478729736,3.172139787,2.541560564
C(user_id)[T.815647170],-0.15416213,1.332471301,1.262130908,1.835233797
C(user_id)[T.823394227],0.791500686,2.939085241,2.56147848,3.003051703
C(user_id)[T.1230053246],1.459170685,2.235368719,2.683076357,3.332119113
C(user_id)[T.1244441016],1.587705238,2.485709197,2.326529907,2.862115086
C(user_id)[T.1375000946],1.466312594,2.650675955,2.655291202,2.812965926
C(user_id)[T.1483213278],2.370837189,4.528780336,3.480838618,3.627466339
C(user_id)[T.1579129819],1.541458269,2.388640935,2.372939424,2.339819679
C(user_id)[T.1957147838],2.041468916,3.429561129,3.248235237,3.521676294
C(user_id)[T.2303012820],0.421436482,0.810439233,0.753952096,0.271951036
C(user_id)[T.2458878782],1.742686789,2.590744434,2.985488896,3.117862177
C(user_id)[T.2558956410],0.857151223,0.544271573,1.099470573,0.836899164
C(user_id)[T.2785876453],0.06551196,1.456823479,1.971969293,1.912784721
C(user_id)[T.2822275694],1.682115998,3.165812725,3.244108223,3.516113066
C(user_id)[T.2967951029],1.523318716,2.022593793,2.08922727,1.472590455
C(user_id)[T.3044250743],-1.241686961,-0.314953441,-0.34892691,0.134560567
C(user_id)[T.3132267137],1.387429667,2.121743082,2.813557875,2.887964718
C(user_id)[T.3354930495],0.73661204,1.510265819,0.980329069,0.973033878
C(user_id)[T.3410437696],2.121842112,3.906886366,3.294080521,4.136330509
C(user_id)[T.3610121554],-1.41306595,0.339493616,1.819785362,2.620265807
C(user_id)[T.4377005313],1.262630044,2.334522084,2.393700015,2.689240256
C(user_id)[T.4431557116],1.933091818,2.728088443,2.305094448,2.27872119
C(user_id)[T.4481556976],0.809232627,1.987858931,1.329159237,1.571205283
C(user_id)[T.4482821783],1.003376509,1.778484943,1.888966555,3.11544338
C(user_id)[T.4486240575],0.798850806,0.563210384,2.545265268,2.231475981
C(user_id)[T.4517948003],2.071536717,3.136994578,2.49367795,3.132702452
C(user_id)[T.4578751817],1.365462659,1.589341552,0.789109997,1.403152935
C(user_id)[T.4579311973],1.845160863,2.930748444,2.654889226,3.223827151
C(user_id)[T.4643059395],0.481170391,1.493814701,2.245998455,1.008939874
C(user_id)[T.4794733634],0.739192995,1.944442948,1.735877638,1.936166253
C(user_id)[T.4870764015],-0.503537127,0.008888225,-0.70314564,-0.384250142
C(user_id)[T.4870770795],-0.580116941,0.197644268,-0.503316306,-0.087887378
C(user_id)[T.4876042407],-1.078549962,-0.566758448,0.055654854,0.397284625
C(user_id)[T.4882012859],-1.086381946,-0.816233624,-0.513558662,-0.717270353
C(user_id)[T.703329759745417216],-0.734814388,0.679499598,-0.103173002,0.099993877
C(user_id)[T.722811840523165698],-0.109961818,1.058081031,0.796553547,0.62807695
C(user_id)[T.747787930714914816],1.574100756,3.292366578,2.966963843,3.062399384
C(user_id)[T.754726151923400704],-0.911147882,0.433446814,0.925027188,0.308768474
C(user_id)[T.809459193493143552],1.568278407,2.813530936,2.092419091,1.803292121
C(user_id)[T.816640550547914752],-0.811382415,0.043423431,-0.707320133,-1.964302108
C(user_id)[T.908657174838153216],-1.03659665,0.281003452,1.313484945,1.160147595
C(user_id)[T.1022552829662294019],0.734831727,2.581788824,2.054411945,2.374035128
C(user_id)[T.1072844475964243970],-1.618085043,0.023388485,-0.247402969,-0.380375959
C(user_id)[T.1204765537521340417],0.597252866,1.058643867,0.210005456,2.72209489
C(user_id)[T.516657502],,-0.001513953,-0.885371039,-0.997468153
word_length,0.105939824,0.187852799,0.119739505,0.209443387
hashtag_count,0.01188619,0.062267504,0.067949265,0.056651955
mentions_count,-0.026910029,-0.060384711,-0.029134013,-0.011390266
url_count,-0.207150747,-0.213992955,-0.20814381,-0.24318616
retweet_count,0.054999838,,0.037012738,0.027630107
